iter	MultiClass	Accuracy
670	1.088927731	0.7620470191
671	1.088317304	0.7626964541
672	1.087653285	0.7632160021
673	1.086524383	0.7652941941
674	1.086092237	0.765424081
675	1.085460175	0.765683855
676	1.084985188	0.765424081
677	1.083969756	0.76633329
678	1.083232273	0.766203403
679	1.082074232	0.766203403
680	1.081565327	0.766463177
681	1.080957298	0.766463177
682	1.080233952	0.767112612
683	1.079138331	0.768021821
684	1.078150626	0.767502273
685	1.076851041	0.769060917
686	1.076179282	0.770100013
687	1.074917867	0.770100013
688	1.07445683	0.770619561
689	1.073342539	0.770359787
690	1.07212928	0.771918431
691	1.071325293	0.772567866
692	1.070701311	0.7732173009
693	1.069948709	0.7742563969
694	1.069516216	0.7737368489
695	1.067879364	0.7745161709
696	1.067334619	0.7750357189
697	1.066300118	0.7749058319
698	1.065353324	0.7765943629
699	1.064435567	0.7775035719
700	1.063389849	0.7776334589
701	1.062771304	0.7775035719
702	1.061820096	0.7784127809
703	1.061435254	0.7778932329
704	1.059888494	0.7799714249
705	1.059286983	0.7798415379
706	1.058311129	0.7806208599
707	1.057581022	0.7803610859
708	1.057207774	0.7802311989
709	1.056230777	0.7802311989
710	1.054767785	0.7810105208
711	1.053431074	0.7833484868
712	1.052543283	0.7834783738
713	1.051479081	0.7838680348
714	1.050502263	0.7834783738
715	1.049634013	0.7845174698
716	1.048718243	0.7846473568
717	1.047604448	0.7849071308
718	1.04666679	0.7851669048
719	1.046312772	0.7842576958
720	1.04520403	0.7859462268
721	1.044777191	0.7863358878
722	1.043677466	0.7863358878
723	1.042603418	0.7867255488
724	1.041496805	0.7873749838
725	1.040792489	0.7873749838
726	1.039898433	0.7880244188
727	1.039279	0.7888037407
728	1.038099796	0.7908819327
729	1.037213591	0.7906221587
730	1.036288978	0.7903623847
731	1.035524907	0.7916612547
732	1.034369899	0.7919210287
733	1.033591799	0.7920509157
734	1.032356337	0.7914014807
735	1.031315162	0.7929601247
736	1.029391955	0.7942589947
737	1.028807355	0.7945187687
738	1.027366082	0.7954279777
739	1.026379464	0.7958176387
740	1.02592412	0.7959475257
741	1.025212271	0.7955578647
742	1.024406784	0.7958176387
743	1.0238444	0.7963371866
744	1.023225136	0.7965969606
745	1.022588215	0.7967268476
746	1.021401047	0.7976360566
747	1.020508954	0.7981556046
748	1.019639862	0.7980257176
749	1.018843061	0.7976360566
750	1.018507512	0.7972463956
751	1.017706022	0.7980257176
752	1.016750221	0.7976360566
753	1.0158836	0.7981556046
754	1.014734249	0.7978958306
755	1.01355967	0.7986751526
756	1.012637294	0.7988050396
757	1.011953094	0.7999740226
758	1.011046811	0.7999740226
759	1.010200337	0.7998441356
760	1.009125831	0.8006234576
761	1.008424722	0.8008832316
762	1.007270416	0.8019223276
763	1.006638753	0.8020522146
764	1.005406357	0.8023119886
765	1.004391623	0.8025717626
766	1.00367001	0.8040005195
767	1.003270243	0.8033510846
768	1.002631673	0.8045200675
769	1.001939785	0.8054292765
770	1.00124929	0.8059488245
771	1.000670495	0.8055591635
